N wide_area wide_rel_err tight_area tight_rel_err
58600 0.92303754 0.02274140 0.94235038 0.00229409
59100 0.95284264 0.00881451 0.93700992 0.00794826
59600 0.93563758 0.00940121 0.95378069 0.00980766
60100 0.95001664 0.00582250 0.92837501 0.01709040
60600 0.92940594 0.01599891 0.93098275 0.01432947
61100 0.92857610 0.01687749 0.94086727 0.00386432
61600 0.95011364 0.00592520 0.95169610 0.00760062
62100 0.95260870 0.00856682 0.96141122 0.01788643
62600 0.93594249 0.00907839 0.94596693 0.00153491
63100 0.94535658 0.00088870 0.96543429 0.02214582
63600 0.95716981 0.01339587 0.92956460 0.01583093
64100 0.95798752 0.01426161 0.94840119 0.00411216
64600 0.91532508 0.03090691 0.95159544 0.00749405
65100 0.92682028 0.01873646 0.94354001 0.00103457
65600 0.93731707 0.00762306 0.93916426 0.00566737
66100 0.95555219 0.01168323 0.93235431 0.01287735
66600 0.95054054 0.00637718 0.95250656 0.00845869
67100 0.93004471 0.01532262 0.94903116 0.00477913
67600 0.94819527 0.00389414 0.94776444 0.00343800
68100 0.94044053 0.00431613 0.93680846 0.00816155
68600 0.95916910 0.01551259 0.94500295 0.00051430
69100 0.95717800 0.01340454 0.94294870 0.00166062
69600 0.95237069 0.00831483 0.96159747 0.01808361
70100 0.94724679 0.00288995 0.94378224 0.00077812
70600 0.96667139 0.02345558 0.92539311 0.02024746
71100 0.94620253 0.00178435 0.95812949 0.01441192
71600 0.94487430 0.00037809 0.93365093 0.01150456
72100 0.95804438 0.01432181 0.95859451 0.01490426
72600 0.95814050 0.01442357 0.93659255 0.00839015
73100 0.94050616 0.00424665 0.94667803 0.00228777
73600 0.93570652 0.00932822 0.94513428 0.00065334
74100 0.95295547 0.00893396 0.95069632 0.00654211
74600 0.94270777 0.00191570 0.95279539 0.00876448
75100 0.94973369 0.00552293 0.95175957 0.00766781
75600 0.96142857 0.01790479 0.94430746 0.00022204
76100 0.93784494 0.00706419 0.93950838 0.00530303
76600 0.94582245 0.00138194 0.94238720 0.00225511
77100 0.94249027 0.00214598 0.93841940 0.00645598
77600 0.95914948 0.01549183 0.94465084 0.00014150
78100 0.92546735 0.02016886 0.94619661 0.00177808
78600 0.94339695 0.00118604 0.93708527 0.00786848
79100 0.95529709 0.01141314 0.95353136 0.00954369
79600 0.93075377 0.01457191 0.94729757 0.00294371
80100 0.94303371 0.00157062 0.94854547 0.00426492
80600 0.92869727 0.01674921 0.92239670 0.02341989
81100 0.95448829 0.01055682 0.94548072 0.00102013
81600 0.94577206 0.00132859 0.94087877 0.00385214
82100 0.95239951 0.00834535 0.94699051 0.00261862
82600 0.93508475 0.00998652 0.93607926 0.00893358
83100 0.94007220 0.00470609 0.93758360 0.00734087
83600 0.95081340 0.00666606 0.93848848 0.00638284
84100 0.93852556 0.00634358 0.93707056 0.00788406
84600 0.94606383 0.00163750 0.95486085 0.01095127
85100 0.93913043 0.00570318 0.94822243 0.00392289
85600 0.95109813 0.00696752 0.95506357 0.01116590
86100 0.94066202 0.00408163 0.95753441 0.01378188
86600 0.94468822 0.00018108 0.94976063 0.00555145
87100 0.92965557 0.01573462 0.95513568 0.01124224
87600 0.93226027 0.01297691 0.93414633 0.01098006
88100 0.94566402 0.00121420 0.93767298 0.00724625
88600 0.94418736 0.00034920 0.93951386 0.00529723
89100 0.94868687 0.00441462 0.95606459 0.01222572
89600 0.96649554 0.02326940 0.94009582 0.00468108
90100 0.94065483 0.00408924 0.95376204 0.00978791
90600 0.95394040 0.00997675 0.94431343 0.00021573
91100 0.94623491 0.00181862 0.94606735 0.00164122
91600 0.94254367 0.00208945 0.93549024 0.00955720
92100 0.93742671 0.00750698 0.93241723 0.01281073
92600 0.95170626 0.00761138 0.93221215 0.01302786
93100 0.94997852 0.00578214 0.96678340 0.02357418
93600 0.94278846 0.00183027 0.95362105 0.00963864
94100 0.94925611 0.00501730 0.94214833 0.00250801
94600 0.93149049 0.01379191 0.93737423 0.00756255
95100 0.94514196 0.00066147 0.94011317 0.00466272
95600 0.93982218 0.00497080 0.93977258 0.00502332
96100 0.95656608 0.01275667 0.94661838 0.00222462
96600 0.94723602 0.00287855 0.94675086 0.00236488
97100 0.95088568 0.00674260 0.93907223 0.00576481
97600 0.94324795 0.00134379 0.96275045 0.01930432
98100 0.93568807 0.00934775 0.95130258 0.00718398
98600 0.94180527 0.00287122 0.94263306 0.00199480
99100 0.94259334 0.00203686 0.95828279 0.01457422
99600 0.94689759 0.00252023 0.94663930 0.00224677
